project_id,state,district,latitude,longitude,project_type,budget_crore,progress_percent,status,start_date,expected_completion
1,Delhi,New Delhi,28.6139,77.209,Solar Power Plant,500,65,Ongoing,2025-01-12,2027-02-17
2,Delhi,New Delhi,28.6139,77.209,Hospital Development,267,40,Ongoing,2025-09-08,2026-08-12
3,Delhi,New Delhi,28.6139,77.209,Bridge Construction,159,66,Ongoing,2024-01-12,2024-12-19
4,Delhi,New Delhi,28.6139,77.209,Water Supply Project,241,92,Near Completion,2024-01-02,2024-09-27
5,Delhi,New Delhi,28.6139,77.209,Road Construction,253,70,Ongoing,2025-10-06,2027-12-21
6,Delhi,New Delhi,28.6139,77.209,Hospital Development,345,38,Ongoing,2025-09-24,2028-02-01
7,Delhi,New Delhi,28.6139,77.209,Hospital Development,140,98,Near Completion,2024-12-12,2026-03-26
8,Delhi,New Delhi,28.6139,77.209,Road Construction,460,9,Ongoing,2023-07-02,2024-08-05
9,Delhi,New Delhi,28.6139,77.209,Smart City Infrastructure,485,59,Ongoing,2024-04-12,2025-02-17
10,Delhi,New Delhi,28.6139,77.209,Smart City Infrastructure,401,55,Ongoing,2025-06-26,2027-11-02
11,Delhi,New Delhi,28.6139,77.209,Metro Expansion,246,22,Ongoing,2025-11-19,2026-09-27
12,Delhi,New Delhi,28.6139,77.209,Hospital Development,95,91,Near Completion,2025-02-12,2026-09-19
13,Delhi,New Delhi,28.6139,77.209,Solar Power Plant,156,100,Completed,2024-06-16,2025-04-21
14,Delhi,New Delhi,28.6139,77.209,School Infrastructure,217,92,Near Completion,2024-08-29,2025-06-26
15,Delhi,South Delhi,28.5245,77.1855,Solar Power Plant,44,2,Ongoing,2023-09-04,2025-08-29
16,Delhi,South Delhi,28.5245,77.1855,Hospital Development,472,46,Ongoing,2025-08-25,2026-09-17
17,Delhi,South Delhi,28.5245,77.1855,School Infrastructure,444,98,Near Completion,2023-10-22,2025-12-18
18,Delhi,South Delhi,28.5245,77.1855,Hospital Development,339,14,Ongoing,2025-04-25,2027-03-25
19,Delhi,South Delhi,28.5245,77.1855,Bridge Construction,384,64,Ongoing,2025-01-01,2025-07-26
20,Delhi,South Delhi,28.5245,77.1855,Metro Expansion,68,68,Ongoing,2023-08-12,2025-09-04
21,Maharashtra,Mumbai,19.076,72.8777,Hospital Development,293,5,Ongoing,2025-05-26,2026-07-17
22,Maharashtra,Mumbai,19.076,72.8777,Bridge Construction,130,18,Ongoing,2024-07-15,2025-07-14
23,Maharashtra,Mumbai,19.076,72.8777,Road Construction,397,2,Ongoing,2025-04-22,2026-07-14
24,Maharashtra,Mumbai,19.076,72.8777,Solar Power Plant,28,6,Ongoing,2025-07-21,2026-07-06
25,Maharashtra,Mumbai,19.076,72.8777,Bridge Construction,321,37,Ongoing,2024-06-16,2026-04-13
26,Maharashtra,Mumbai,19.076,72.8777,Hospital Development,147,35,Ongoing,2024-07-23,2026-09-21
27,Maharashtra,Mumbai,19.076,72.8777,Water Supply Project,194,8,Ongoing,2024-07-21,2025-04-16
28,Maharashtra,Mumbai,19.076,72.8777,Smart City Infrastructure,194,14,Ongoing,2025-01-28,2025-10-12
29,Maharashtra,Mumbai,19.076,72.8777,School Infrastructure,427,35,Ongoing,2024-09-29,2025-11-14
30,Maharashtra,Mumbai,19.076,72.8777,Water Supply Project,106,60,Ongoing,2025-01-20,2026-03-08
31,Maharashtra,Pune,18.5204,73.8567,Smart City Infrastructure,49,73,Near Completion,2025-02-25,2027-05-17
32,Maharashtra,Pune,18.5204,73.8567,Water Supply Project,374,47,Ongoing,2025-05-18,2026-11-12
33,Maharashtra,Pune,18.5204,73.8567,Water Supply Project,103,49,Ongoing,2025-01-13,2026-09-14
34,Maharashtra,Pune,18.5204,73.8567,Bridge Construction,296,76,Near Completion,2024-02-08,2025-05-18
35,Maharashtra,Pune,18.5204,73.8567,Road Construction,72,54,Ongoing,2024-05-09,2026-02-02
36,Maharashtra,Pune,18.5204,73.8567,Water Supply Project,103,13,Ongoing,2023-11-12,2024-07-11
37,Maharashtra,Pune,18.5204,73.8567,Bridge Construction,217,89,Near Completion,2023-11-08,2024-11-02
38,Maharashtra,Pune,18.5204,73.8567,Hospital Development,203,26,Ongoing,2025-11-02,2027-06-30
39,Maharashtra,Nagpur,21.1458,79.0882,Road Construction,109,14,Ongoing,2024-01-20,2025-10-05
